id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
32601,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32602,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32603,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32604,Women Tshirts,8,multicolor,loose,long,default,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32605,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32606,Women Tshirts,8,black,boxy,crop,solid,quirky,long sleeves,regular sleeves,zari woven,regular sleeves,no
32607,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32608,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32609,Women Tshirts,8,default,regular,regular,solid,solid,default,regular sleeves,zari woven,regular sleeves,no
32610,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32611,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32612,Women Tshirts,8,multicolor,regular,regular,default,default,default,cuffed sleeves,zari woven,regular sleeves,no
32613,Women Tshirts,8,default,boxy,long,default,graphic,default,regular sleeves,zari woven,regular sleeves,no
32614,Women Tshirts,8,pink,regular,crop,solid,graphic,default,regular sleeves,zari woven,regular sleeves,no
32615,Women Tshirts,8,yellow,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32616,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32617,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32618,Women Tshirts,8,black,boxy,crop,printed,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32619,Women Tshirts,8,maroon,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32620,Women Tshirts,8,black,regular,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32621,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32622,Women Tshirts,8,default,regular,crop,solid,solid,default,regular sleeves,zari woven,regular sleeves,no
32623,Women Tshirts,8,black,regular,crop,printed,quirky,default,regular sleeves,zari woven,regular sleeves,no
32624,Women Tshirts,8,pink,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32625,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32626,Women Tshirts,8,pink,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32627,Women Tshirts,8,black,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32628,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32629,Women Tshirts,8,pink,regular,crop,solid,solid,long sleeves,regular sleeves,zari woven,regular sleeves,no
32630,Women Tshirts,8,pink,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32631,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32632,Women Tshirts,8,multicolor,regular,long,solid,default,default,regular sleeves,zari woven,regular sleeves,no
32633,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32634,Women Tshirts,8,default,loose,long,printed,typography,default,regular sleeves,zari woven,regular sleeves,no
32635,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32636,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32637,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,regular sleeves,zari woven,regular sleeves,no
32638,Women Tshirts,8,maroon,regular,regular,solid,solid,long sleeves,regular sleeves,zari woven,regular sleeves,no
32639,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
